단어,발음기호,한국어발음,분류,품사,뜻,예문,예문해석,예문2,예문2해석,예문3,예문3해석,예문4,예문4해석
wall clock,/wɔːl klɑːk/,[월]ː 클락ː,2-3 Living Room Furniture and Items 거실 가구와 용품,구,벽시계,We hung the **wall clock** where everyone could see it.,우리는 모두가 볼 수 있는 곳에 벽시계를 걸었다.,,,,,,
lamp,/læmp/,[램]프,2-3 Living Room Furniture and Items 거실 가구와 용품,명,램프; 스탠드,I turned on the **lamp** to read more comfortably.,나는 더 편하게 책을 읽으려고 램프를 켰다.,,,,,,
floor lamp,/flɔːr læmp/,플[로]ː 램프,2-3 Living Room Furniture and Items 거실 가구와 용품,구,플로어 스탠드,The **floor lamp** brightens the corner beside the sofa.,플로어 스탠드가 소파 옆 구석을 밝힌다.,,,,,,
ceiling light,/ˈsiːlɪŋ laɪt/,[실]ː링 라이트,2-3 Living Room Furniture and Items 거실 가구와 용품,구,천장 조명,The bulb in the **ceiling light** needs to be replaced.,천장 조명의 전구를 교체해야 한다.,,,,,,
cabinet,/ˈkæbɪnət/,[캐]비넷,2-3 Living Room Furniture and Items 거실 가구와 용품,명,수납장,We keep board games inside the **cabinet**.,우리는 수납장 안에 보드게임을 보관한다.,,,,,,
drawer,/drɔːr/,드[로]ː,2-3 Living Room Furniture and Items 거실 가구와 용품,명,서랍,I put the spare keys in the top **drawer**.,나는 여분 열쇠를 맨 위 서랍에 넣었다.,,,,,,
speaker,/ˈspiːkər/,스[피]ː커,2-3 Living Room Furniture and Items 거실 가구와 용품,명,스피커,My phone connected to the wireless **speaker**.,내 휴대전화가 무선 스피커에 연결되었다.,,,,,,
heater,/ˈhiːtər/,[히]ː터,2-3 Living Room Furniture and Items 거실 가구와 용품,명,난방기,The **heater** warmed the room within a few minutes.,난방기가 몇 분 만에 방을 따뜻하게 했다.,,,,,,
fan,/fæn/,[퐨],2-3 Living Room Furniture and Items 거실 가구와 용품,명,선풍기; 팬,A small **fan** keeps the air moving in summer.,작은 선풍기가 여름에 공기를 순환시킨다.,,,,,,
ornament,/ˈɔːrnəmənt/,[오]ː너먼트,2-3 Living Room Furniture and Items 거실 가구와 용품,명,장식품,That glass **ornament** came from our trip to Italy.,저 유리 장식품은 이탈리아 여행에서 사 온 것이다.,,,,,,
"oven mitt, oven glove","/ˈʌvn mɪt/, /ˈʌvn ɡlʌv/",[어]븐 밋 / [어]븐 글러브,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,오븐 장갑,Use an **oven mitt** when you take the tray out.,쟁반을 꺼낼 때 오븐 장갑을 사용하세요.,,,,,,
sink,/sɪŋk/,[싱]크,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,싱크대,I rinsed the vegetables in the **sink**.,나는 싱크대에서 채소를 씻었다.,,,,,,
dishwasher,/ˈdɪʃwɑːʃər/,[디]쉬와ː셔,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,식기세척기,"The **dishwasher** is full, so I will run it tonight.",식기세척기가 가득 차서 오늘 밤에 돌릴 것이다.,,,,,,
oven,/ˈʌvn/,[어]븐,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,오븐,The bread is baking in the **oven**.,빵이 오븐 안에서 구워지고 있다.,,,,,,
"refrigerator, fridge","/rɪˈfrɪdʒəreɪtər/, /frɪdʒ/",리프[리]저레이터 / 프[리]지,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,냉장고,Put the milk back in the **refrigerator**.,우유를 냉장고에 다시 넣어 주세요.,,,,,,
silverware,/ˈsɪlvərwer/,[실]버웨어,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,은식기류; 수저류,The waiter brought clean **silverware** with our meals.,종업원이 음식과 함께 깨끗한 수저류를 가져왔다.,,,,,,
bowl,/boʊl/,[보]울,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,우묵한 그릇,She poured the soup into a large **bowl**.,그녀는 수프를 큰 그릇에 담았다.,,,,,,
cup,/kʌp/,[컵],2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,컵,Would you like another **cup** of coffee?,커피 한 잔 더 드릴까요?,,,,,,
"dish, plate","/dɪʃ/, /pleɪt/",[디]쉬 / 플[레]이트,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,접시,Please carry this **plate** to the dining table.,이 접시를 식탁으로 옮겨 주세요.,,,,,,
chopsticks,/ˈtʃɑːpstɪks/,[찹]ː스틱스,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,젓가락,I am learning to eat noodles with **chopsticks**.,나는 젓가락으로 국수를 먹는 법을 배우고 있다.,,,,,,
spoon,/spuːn/,스[푼]ː,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명/동,명: 숟가락 / 동: 숟가락으로 뜨다,Stir the sauce with a wooden **spoon**.,나무 숟가락으로 소스를 저으세요.,She **spooned** the soup into a bowl.,그녀는 수프를 숟가락으로 떠서 그릇에 담았다.,,,,
fork,/fɔːrk/,[포]ː크,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명/동,명: 포크 / 동: 포크로 집다; 갈라지다,He dropped his **fork** beside the chair.,그는 포크를 의자 옆에 떨어뜨렸다.,The road **forks** near the station.,그 길은 역 근처에서 두 갈래로 갈라진다.,,,,
balloon whisk,/bəˈluːn wɪsk/,벌[룬]ː 위스크,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,거품기,A **balloon whisk** adds air to the egg mixture.,거품기는 달걀 혼합물에 공기를 넣어 준다.,,,,,,
tongs,/tɔːŋz/,[통]ː즈,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,(요리용) 집게,Use the **tongs** to turn the meat safely.,고기를 안전하게 뒤집으려면 집게를 사용하세요.,,,,,,
dining table,/ˈdaɪnɪŋ teɪbl/,[다]이닝 테이블,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,식탁,We set six places at the **dining table**.,우리는 식탁에 여섯 사람 자리를 차렸다.,,,,,,
ladle,/ˈleɪdl/,[레]이들,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,국자,She served the stew with a **ladle**.,그녀는 국자로 찌개를 떠 주었다.,,,,,,
gas stove,/ɡæs stoʊv/,[개]스 스토우브,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,가스레인지,Check that the **gas stove** is off before leaving.,나가기 전에 가스레인지가 꺼졌는지 확인하세요.,,,,,,
stove,/stoʊv/,스[토]우브,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,가스레인지; 화구(미국),A pot of water is boiling on the **stove**.,가스레인지 위에서 물 한 냄비가 끓고 있다.,,,,,,
cooker,/ˈkʊkər/,[쿠]커,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,가스레인지; 조리기구(영국),The new **cooker** has four burners and a large oven.,새 조리기구에는 화구 네 개와 큰 오븐이 있다.,,,,,,
cupboard,/ˈkʌbərd/,[커]버드,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,찬장,The cereal is in the **cupboard** above the counter.,시리얼은 조리대 위 찬장에 있다.,,,,,,
electric rice cooker,/ɪˈlektrɪk raɪs kʊkər/,일[렉]트릭 라이스 쿠커,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,전기밥솥,The **electric rice cooker** keeps the rice warm.,전기밥솥이 밥을 따뜻하게 보온한다.,,,,,,
coffee maker,/ˈkɔːfi meɪkər/,[코]ː피 메이커,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,커피메이커,I programmed the **coffee maker** for seven o’clock.,나는 커피메이커를 일곱 시에 작동하도록 설정했다.,,,,,,
microwave,/ˈmaɪkrəweɪv/,[마]이크러웨이브,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,전자레인지,Heat the leftovers in the **microwave** for two minutes.,남은 음식을 전자레인지에 2분 동안 데우세요.,,,,,,
"blender, mixer","/ˈblendər/, /ˈmɪksər/",블[렌]더 / [믹]서,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,믹서; 블렌더,The **blender** turned the fruit into a smooth drink.,블렌더가 과일을 부드러운 음료로 만들었다.,,,,,,
cutting board,/ˈkʌtɪŋ bɔːrd/,[커]팅 보ː드,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,도마,Use a separate **cutting board** for raw chicken.,생닭에는 별도의 도마를 사용하세요.,,,,,,
scale,/skeɪl/,스[케]일,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,저울,The kitchen **scale** showed exactly two hundred grams.,주방 저울에 정확히 200그램이 표시되었다.,,,,,,
tray,/treɪ/,트[레]이,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,쟁반,The server carried the drinks on a **tray**.,종업원이 쟁반에 음료를 담아 날랐다.,,,,,,
kettle,/ˈketl/,[케]틀,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,주전자,The **kettle** began to whistle when the water boiled.,물이 끓자 주전자가 소리를 내기 시작했다.,,,,,,
pot,/pɑːt/,[팟]ː,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,냄비,Cover the **pot** and lower the heat.,냄비에 뚜껑을 덮고 불을 줄이세요.,,,,,,
knife,/naɪf/,[나]이프,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,칼,This **knife** is sharp enough to slice tomatoes.,이 칼은 토마토를 썰 만큼 날카롭다.,,,,,,
frying pan,/ˈfraɪɪŋ pæn/,프[라]이잉 팬,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,프라이팬,I cooked the eggs in a nonstick **frying pan**.,나는 코팅 프라이팬에 달걀을 익혔다.,,,,,,
potato peeler,/pəˈteɪtoʊ piːlər/,퍼[테]이토우 필ː러,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,감자 깎는 칼; 필러,A **potato peeler** removes the skin quickly.,감자 깎는 칼은 껍질을 빠르게 벗겨 준다.,,,,,,
plastic container,/ˈplæstɪk kənteɪnər/,플[래]스틱 컨테이너,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,플라스틱 용기,Store the leftovers in a sealed **plastic container**.,남은 음식은 밀폐된 플라스틱 용기에 보관하세요.,,,,,,
"dishcloth, dishtowel, tea towel","/ˈdɪʃklɔːθ/, /ˈdɪʃtaʊəl/, /tiː taʊəl/",[디]쉬클로ː쓰 / [디]쉬타월 / [티]ː 타월,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,행주,I wiped the counter with a clean **dishcloth**.,나는 깨끗한 행주로 조리대를 닦았다.,,,,,,
freezer,/ˈfriːzər/,프[리]ː저,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,냉동고,There is frozen soup in the **freezer**.,냉동고에 얼린 수프가 있다.,,,,,,
toaster,/ˈtoʊstər/,[토]우스터,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,토스터,The **toaster** browned both slices evenly.,토스터가 빵 두 조각을 고르게 구웠다.,,,,,,
range hood,/reɪndʒ hʊd/,[레]인지 후드,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,레인지 후드,Turn on the **range hood** while frying fish.,생선을 튀기는 동안 레인지 후드를 켜세요.,,,,,,
spatula,/ˈspætʃələ/,스[패]철러,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,뒤집개,Slide the **spatula** under the pancake before flipping it.,팬케이크를 뒤집기 전에 뒤집개를 밑으로 넣으세요.,,,,,,
grater,/ˈɡreɪtər/,그[레]이터,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,강판,She used a **grater** to shred the cheese.,그녀는 강판으로 치즈를 갈았다.,,,,,,
colander,/ˈkʌləndər/,[컬]런더,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,채반; 물빠짐 그릇,Drain the pasta through a **colander**.,파스타를 채반에 부어 물을 빼세요.,,,,,,
strainer,/ˈstreɪnər/,스트[레]이너,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,체,Pour the tea through a small **strainer**.,작은 체에 차를 부어 찌꺼기를 거르세요.,,,,,,
measuring cup,/ˈmeʒərɪŋ kʌp/,[메]저링 컵,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,계량컵,The recipe calls for one **measuring cup** of water.,그 조리법에는 계량컵으로 물 한 컵이 필요하다.,,,,,,
mug,/mʌɡ/,[머]그,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,머그컵,My favorite **mug** has a blue handle.,내가 가장 좋아하는 머그컵에는 파란 손잡이가 있다.,,,,,,
glass,/ɡlæs/,글[래]스,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,유리컵; 유리,She filled a **glass** with cold water.,그녀는 유리컵에 찬물을 채웠다.,,,,,,
teapot,/ˈtiːpɑːt/,[티]ː팟ː,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,찻주전자,The **teapot** kept the tea warm during breakfast.,찻주전자가 아침 식사 동안 차를 따뜻하게 유지했다.,,,,,,
saucepan,/ˈsɔːspæn/,[소]ː스팬,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,소스팬,Melt the butter in a small **saucepan**.,작은 소스팬에 버터를 녹이세요.,,,,,,
lid,/lɪd/,[리]드,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,뚜껑,The **lid** does not fit this container.,이 뚜껑은 이 용기에 맞지 않는다.,,,,,,
apron,/ˈeɪprən/,[에]이프런,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,앞치마,I tied my **apron** before making dinner.,나는 저녁을 만들기 전에 앞치마를 맸다.,,,,,,
dish rack,/dɪʃ ræk/,[디]쉬 랙,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,그릇 건조대,Leave the wet plates on the **dish rack**.,젖은 접시는 그릇 건조대에 두세요.,,,,,,
dish soap,/dɪʃ soʊp/,[디]쉬 소웁,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,주방세제,A drop of **dish soap** removed the grease.,주방세제 한 방울이 기름때를 없앴다.,,,,,,
sponge,/spʌndʒ/,스[펀]지,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,수세미; 스펀지,Replace the kitchen **sponge** when it starts to smell.,주방 수세미에서 냄새가 나기 시작하면 교체하세요.,,,,,,
napkin,/ˈnæpkɪn/,[냅]킨,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,냅킨,He placed a **napkin** on his lap.,그는 냅킨을 무릎 위에 놓았다.,,,,,,
jar,/dʒɑːr/,[자]ː,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,명,병; 단지,The homemade jam filled three glass **jars**.,수제 잼이 유리병 세 개를 채웠다.,,,,,,
bottle opener,/ˈbɑːtl oʊpənər/,[바]ː틀 오우퍼너,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,병따개,Do you have a **bottle opener** for this soda?,이 탄산음료를 열 병따개가 있나요?,,,,,,
can opener,/kæn oʊpənər/,[캔] 오우퍼너,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,깡통따개,The electric **can opener** opened the soup can.,전동 깡통따개가 수프 통조림을 열었다.,,,,,,
rolling pin,/ˈroʊlɪŋ pɪn/,[로]울링 핀,2-4 Kitchen Appliances and Utensils 주방 가전과 조리도구,구,밀대,Roll the dough flat with a **rolling pin**.,밀대로 반죽을 납작하게 미세요.,,,,,,
"bedcover, sheet","/ˈbedkʌvər/, /ʃiːt/",[베]드커버 / [쉿]ː,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,침대보,I changed the **sheet** before our guest arrived.,손님이 도착하기 전에 침대 시트를 갈았다.,,,,,,
"comforter, duvet","/ˈkʌmfərtər/, /duːˈveɪ/",[컴]퍼터 / 두ː[베]이,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,이불,The thick **duvet** kept me warm all night.,두꺼운 이불이 밤새 나를 따뜻하게 해 주었다.,,,,,,
blind,/blaɪnd/,블[라]인드,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,블라인드; 창문 가리개,I lowered the **blind** to block the morning sun.,아침 햇빛을 막으려고 블라인드를 내렸다.,,,,,,
book,/bʊk/,[북],2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,책,A **book** was lying open beside the bed.,책 한 권이 침대 옆에 펼쳐져 있었다.,,,,,,
pillow,/ˈpɪloʊ/,[필]로우,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,베개,This **pillow** is too firm for me.,이 베개는 나에게 너무 단단하다.,,,,,,
digital clock,/ˈdɪdʒɪtl klɑːk/,[디]지틀 클락ː,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,구,디지털시계,The **digital clock** glowed softly in the dark.,디지털시계가 어둠 속에서 은은하게 빛났다.,,,,,,
dressing table,/ˈdresɪŋ teɪbl/,드[레]싱 테이블,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,구,화장대,She keeps her jewelry on the **dressing table**.,그녀는 화장대 위에 보석을 둔다.,,,,,,
"wastepaper basket, bin","/ˈweɪstpeɪpər bæskɪt/, /bɪn/",[웨]이스트페이퍼 배스킷 / [빈],2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,쓰레기통,I emptied the **wastepaper basket** before cleaning the room.,방을 청소하기 전에 휴지통을 비웠다.,,,,,,
closet,/ˈklɑːzət/,클[라]ː젓,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,옷장; 장롱(붙박이),My winter coats are hanging in the **closet**.,내 겨울 코트들은 옷장에 걸려 있다.,,,,,,
bed,/bed/,[베]드,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,침대,I made the **bed** as soon as I woke up.,나는 일어나자마자 침대를 정리했다.,,,,,,
desk lamp,/desk læmp/,[데]스크 램프,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,구,탁상용 스탠드,The **desk lamp** gives enough light for studying.,책상 스탠드는 공부하기에 충분한 빛을 준다.,,,,,,
drawer,/drɔːr/,드[로]ː,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,서랍,She found an old letter in the bottom **drawer**.,그녀는 맨 아래 서랍에서 오래된 편지를 찾았다.,,,,,,
mattress,/ˈmætrəs/,[매]트러스,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,매트리스,We replaced the worn **mattress** last month.,우리는 지난달에 낡은 매트리스를 교체했다.,,,,,,
blanket,/ˈblæŋkɪt/,블[랭]킷,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,담요,I pulled the **blanket** up to my shoulders.,나는 담요를 어깨까지 끌어올렸다.,,,,,,
pillowcase,/ˈpɪloʊkeɪs/,[필]로우케이스,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,베갯잇,This cotton **pillowcase** feels cool against my skin.,이 면 베갯잇은 피부에 닿으면 시원하다.,,,,,,
bedding,/ˈbedɪŋ/,[베]딩,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,침구류,Fresh **bedding** made the room smell clean.,깨끗한 침구가 방에서 산뜻한 냄새가 나게 했다.,,,,,,
headboard,/ˈhedbɔːrd/,[헤]드보ː드,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,침대 머리판,A reading light is attached to the **headboard**.,독서등이 침대 머리판에 달려 있다.,,,,,,
"nightstand, bedside table","/ˈnaɪtstænd/, /ˈbedsaɪd teɪbl/",[나]이트스탠드 / [베]드사이드 테이블,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,협탁,I left a glass of water on the **nightstand**.,나는 협탁 위에 물 한 잔을 두었다.,,,,,,
alarm clock,/əˈlɑːrm klɑːk/,어[람]ː 클락ː,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,구,알람 시계,My **alarm clock** goes off at six thirty.,내 알람 시계는 6시 30분에 울린다.,,,,,,
wardrobe,/ˈwɔːrdroʊb/,[워]ː드로웁,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,옷장(독립형),The old **wardrobe** takes up most of the wall.,오래된 옷장이 벽의 대부분을 차지한다.,,,,,,
hanger,/ˈhæŋər/,[행]어,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,옷걸이,Please put the jacket on a **hanger**.,재킷을 옷걸이에 걸어 주세요.,,,,,,
curtain,/ˈkɜːrtn/,[커]ː튼,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,커튼,The bedroom **curtain** moves whenever the window is open.,창문을 열면 침실 커튼이 움직인다.,,,,,,
carpet,/ˈkɑːrpət/,[카]ː펫,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,카펫,A soft **carpet** makes the bedroom feel warmer.,부드러운 카펫이 침실을 더 따뜻하게 느껴지게 한다.,,,,,,
slippers,/ˈslɪpərz/,슬[리]퍼즈,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,명,실내화,I keep my **slippers** beside the bed.,나는 실내화를 침대 옆에 둔다.,,,,,,
full-length mirror,/fʊl leŋθ mɪrər/,[풀] 렝쓰 미러,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,구,전신 거울,The **full-length mirror** lets me check my outfit.,전신 거울로 옷차림 전체를 확인할 수 있다.,,,,,,
chest of drawers,/tʃest əv drɔːrz/,[체]스트 어브 드로ː즈,2-5 Bedroom Furniture and Bedding 침실 가구와 침구,구,서랍장,The **chest of drawers** holds socks and pajamas.,서랍장에는 양말과 잠옷이 들어 있다.,,,,,,
toilet paper,/ˈtɔɪlət peɪpər/,[토]일렛 페이퍼,2-6 Bathroom and Personal Care Items 욕실·세면 용품,구,두루마리 화장지,We need to replace the roll of **toilet paper**.,화장지 두루마리를 새것으로 갈아야 한다.,,,,,,
toothpaste,/ˈtuːθpeɪst/,[투]ː쓰페이스트,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,치약,Squeeze a small amount of **toothpaste** onto the brush.,칫솔에 치약을 조금 짜세요.,,,,,,
toothbrush,/ˈtuːθbrʌʃ/,[투]ː쓰브러쉬,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,칫솔,I replace my **toothbrush** every three months.,나는 칫솔을 세 달마다 교체한다.,,,,,,
toilet,/ˈtɔɪlət/,[토]일렛,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,변기,The **toilet** is leaking near the base.,변기 아랫부분에서 물이 새고 있다.,,,,,,
soap,/soʊp/,[소]웁,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,비누,Wash your hands with **soap** for at least twenty seconds.,비누로 손을 최소 20초 동안 씻으세요.,,,,,,
razor,/ˈreɪzər/,[레]이저,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,면도기,He rinsed the **razor** after shaving.,그는 면도 후 면도기를 헹궜다.,,,,,,
bathtub,/ˈbæθtʌb/,[배]쓰텁,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,욕조,The child filled the **bathtub** with warm water.,아이가 욕조에 따뜻한 물을 받았다.,,,,,,
electric shaver,/ɪˈlektrɪk ʃeɪvər/,일[렉]트릭 셰이버,2-6 Bathroom and Personal Care Items 욕실·세면 용품,구,전기 면도기,My **electric shaver** needs to be charged.,내 전기 면도기를 충전해야 한다.,,,,,,
dental floss,/ˈdentl flɔːs/,[덴]틀 플로ː스,2-6 Bathroom and Personal Care Items 욕실·세면 용품,구,치실,Use **dental floss** to clean between your teeth.,치아 사이를 닦으려면 치실을 사용하세요.,,,,,,
"faucet, tap","/ˈfɔːsɪt/, /tæp/",[포]ː싯 / [탭],2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,수도꼭지,Please turn off the **faucet** while brushing your teeth.,이를 닦는 동안 수도꼭지를 잠가 주세요.,,,,,,
"sink, washbasin","/sɪŋk/, /ˈwɑːʃbeɪsn/",[싱]크 / [와]ː쉬베이슨,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,세면대,Water splashed across the **sink**.,세면대 위로 물이 튀었다.,,,,,,
tissue,/ˈtɪʃuː/,[티]슈ː,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,화장지,A box of **tissues** sits beside the mirror.,거울 옆에 화장지 상자가 놓여 있다.,,,,,,
mirror,/ˈmɪrər/,[미]러,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,거울,The bathroom **mirror** fogged up after my shower.,샤워 후 욕실 거울에 김이 서렸다.,,,,,,
cosmetics,/kɑːzˈmetɪks/,카ː즈[메]틱스,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,화장품(통칭),She arranged her **cosmetics** by the sink.,그녀는 세면대 옆에 화장품을 정리했다.,,,,,,
comb,/koʊm/,[코]움,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명/동,명: 빗 / 동: 빗다; 빗질하다,I used a wide-tooth **comb** on my wet hair.,나는 젖은 머리에 빗살이 넓은 빗을 사용했다.,I **comb** my hair before work.,나는 출근 전에 머리를 빗는다.,,,,
brush,/brʌʃ/,브[러]쉬,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명/동,명: 브러시; 솔 / 동: 빗질하다; 솔질하다,This **brush** helps smooth my hair.,이 브러시는 머리를 가지런하게 해 준다.,I **brush** my hair every morning.,나는 매일 아침 머리를 빗는다.,,,,
rollers,/ˈroʊlərz/,[로]울러즈,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,헤어 롤,She put **rollers** in her hair before breakfast.,그녀는 아침 식사 전에 머리에 헤어 롤을 말았다.,,,,,,
rag,/ræɡ/,[래]그,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,걸레,Use an old **rag** to wipe the wet floor.,낡은 걸레로 젖은 바닥을 닦으세요.,,,,,,
curling iron,/ˈkɜːrlɪŋ aɪərn/,[컬]ː링 아이언,2-6 Bathroom and Personal Care Items 욕실·세면 용품,구,고데기,The **curling iron** was still warm after use.,고데기는 사용 후에도 아직 따뜻했다.,,,,,,
nail clipper,/neɪl klɪpər/,[네]일 클리퍼,2-6 Bathroom and Personal Care Items 욕실·세면 용품,구,손톱깎기,I packed a **nail clipper** in my travel bag.,나는 여행 가방에 손톱깎기를 챙겼다.,,,,,,
towel,/ˈtaʊəl/,[타]월,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명/동,명: 수건 / 동: 수건으로 닦다,Hang the wet **towel** where it can dry.,젖은 수건을 마를 수 있는 곳에 걸어 두세요.,She **toweled** her hair after the shower.,그녀는 샤워 후 수건으로 머리를 닦았다.,,,,
toilet seat,/ˈtɔɪlət siːt/,[토]일렛 싯ː,2-6 Bathroom and Personal Care Items 욕실·세면 용품,구,변기 커버,Please lower the **toilet seat** after use.,사용 후 변기 커버를 내려 주세요.,,,,,,
shower,/ˈʃaʊər/,[샤]워,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명/동,명: 샤워기; 샤워 / 동: 샤워하다,I took a quick **shower** before work.,나는 출근 전에 간단히 샤워했다.,I **shower** before going to bed.,나는 잠자기 전에 샤워한다.,,,,
showerhead,/ˈʃaʊərhed/,[샤]워헤드,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명,샤워 헤드,The new **showerhead** uses less water.,새 샤워 헤드는 물을 덜 사용한다.,,,,,,
drain,/dreɪn/,드[레]인,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명/동,명: 배수구 / 동: 물을 빼다; 배수하다,Hair was blocking the **drain**.,머리카락이 배수구를 막고 있었다.,Please **drain** the water from the sink.,싱크대의 물을 빼 주세요.,,,,
shampoo,/ʃæmˈpuː/,섐[푸]ː,2-6 Bathroom and Personal Care Items 욕실·세면 용품,명/동,명: 샴푸 / 동: 샴푸로 머리를 감다,This **shampoo** has a fresh citrus scent.,이 샴푸에서는 상큼한 감귤 향이 난다.,I **shampoo** my hair every other day.,나는 이틀에 한 번 샴푸로 머리를 감는다.,,,,
